modomics_position	fasta_position	modification	fasta_entry
15	15	D	Homo_sapiens_tRNA-Asn-GTT-2-5
19	19	D	Homo_sapiens_tRNA-Asn-GTT-2-5
20	20	acp3U	Homo_sapiens_tRNA-Asn-GTT-2-5
26	26	m2,2G	Homo_sapiens_tRNA-Asn-GTT-2-5
27	27	Y	Homo_sapiens_tRNA-Asn-GTT-2-5
28	28	Y	Homo_sapiens_tRNA-Asn-GTT-2-5
34	34	Q	Homo_sapiens_tRNA-Asn-GTT-2-5
37	37	t6A	Homo_sapiens_tRNA-Asn-GTT-2-5
46	46	m7G	Homo_sapiens_tRNA-Asn-GTT-2-5
47	47	D	Homo_sapiens_tRNA-Asn-GTT-2-5
55	55	Y	Homo_sapiens_tRNA-Asn-GTT-2-5
58	58	m1A	Homo_sapiens_tRNA-Asn-GTT-2-5
8	8	m1G	Homo_sapiens_tRNA-Asn-GTT-2-6
9	9	m2G	Homo_sapiens_tRNA-Asn-GTT-2-6
15	15	D	Homo_sapiens_tRNA-Asn-GTT-2-6
19	19	D	Homo_sapiens_tRNA-Asn-GTT-2-6
20	20	acp3U	Homo_sapiens_tRNA-Asn-GTT-2-6
26	26	m2,2G	Homo_sapiens_tRNA-Asn-GTT-2-6
27	27	Y	Homo_sapiens_tRNA-Asn-GTT-2-6
28	28	Y	Homo_sapiens_tRNA-Asn-GTT-2-6
34	34	Q	Homo_sapiens_tRNA-Asn-GTT-2-6
37	37	t6A	Homo_sapiens_tRNA-Asn-GTT-2-6
46	46	m7G	Homo_sapiens_tRNA-Asn-GTT-2-6
47	47	D	Homo_sapiens_tRNA-Asn-GTT-2-6
55	55	Y	Homo_sapiens_tRNA-Asn-GTT-2-6
58	58	m1A	Homo_sapiens_tRNA-Asn-GTT-2-6
8	8	m1G	Homo_sapiens_tRNA-Gln-CTG-6-1
12	12	Y	Homo_sapiens_tRNA-Gln-CTG-6-1
16	16	Gm	Homo_sapiens_tRNA-Gln-CTG-6-1
18	18	D	Homo_sapiens_tRNA-Gln-CTG-6-1
27	27	Y	Homo_sapiens_tRNA-Gln-CTG-6-1
31	31	Cm	Homo_sapiens_tRNA-Gln-CTG-6-1
38	38	Y	Homo_sapiens_tRNA-Gln-CTG-6-1
47	47	m5C	Homo_sapiens_tRNA-Gln-CTG-6-1
48	48	m5C	Homo_sapiens_tRNA-Gln-CTG-6-1
52	52	Y	Homo_sapiens_tRNA-Gln-CTG-6-1
53	53	Y	Homo_sapiens_tRNA-Gln-CTG-6-1
56	56	m1A	Homo_sapiens_tRNA-Gln-CTG-6-1
8	8	m1G	Homo_sapiens_tRNA-Gln-TTG-1-1
12	12	Y	Homo_sapiens_tRNA-Gln-TTG-1-1
16	16	Gm	Homo_sapiens_tRNA-Gln-TTG-1-1
18	18	D	Homo_sapiens_tRNA-Gln-TTG-1-1
19	19	D	Homo_sapiens_tRNA-Gln-TTG-1-1
27	27	Y	Homo_sapiens_tRNA-Gln-TTG-1-1
31	31	Cm	Homo_sapiens_tRNA-Gln-TTG-1-1
33	33	xU	Homo_sapiens_tRNA-Gln-TTG-1-1
38	38	Y	Homo_sapiens_tRNA-Gln-TTG-1-1
47	47	m5C	Homo_sapiens_tRNA-Gln-TTG-1-1
48	48	m5C	Homo_sapiens_tRNA-Gln-TTG-1-1
52	52	Y	Homo_sapiens_tRNA-Gln-TTG-1-1
53	53	Y	Homo_sapiens_tRNA-Gln-TTG-1-1
56	56	m1A	Homo_sapiens_tRNA-Gln-TTG-1-1
8	8	m1G	Homo_sapiens_tRNA-Gln-TTG-3-1
12	12	Y	Homo_sapiens_tRNA-Gln-TTG-3-1
16	16	Gm	Homo_sapiens_tRNA-Gln-TTG-3-1
18	18	D	Homo_sapiens_tRNA-Gln-TTG-3-1
19	19	D	Homo_sapiens_tRNA-Gln-TTG-3-1
27	27	Y	Homo_sapiens_tRNA-Gln-TTG-3-1
31	31	Cm	Homo_sapiens_tRNA-Gln-TTG-3-1
33	33	xU	Homo_sapiens_tRNA-Gln-TTG-3-1
38	38	Y	Homo_sapiens_tRNA-Gln-TTG-3-1
47	47	m5C	Homo_sapiens_tRNA-Gln-TTG-3-1
48	48	m5C	Homo_sapiens_tRNA-Gln-TTG-3-1
52	52	Y	Homo_sapiens_tRNA-Gln-TTG-3-1
53	53	Y	Homo_sapiens_tRNA-Gln-TTG-3-1
56	56	m1A	Homo_sapiens_tRNA-Gln-TTG-3-1
8	8	m1G	Homo_sapiens_tRNA-Gln-TTG-3-2
12	12	Y	Homo_sapiens_tRNA-Gln-TTG-3-2
16	16	Gm	Homo_sapiens_tRNA-Gln-TTG-3-2
18	18	D	Homo_sapiens_tRNA-Gln-TTG-3-2
19	19	D	Homo_sapiens_tRNA-Gln-TTG-3-2
27	27	Y	Homo_sapiens_tRNA-Gln-TTG-3-2
31	31	Cm	Homo_sapiens_tRNA-Gln-TTG-3-2
33	33	xU	Homo_sapiens_tRNA-Gln-TTG-3-2
38	38	Y	Homo_sapiens_tRNA-Gln-TTG-3-2
47	47	m5C	Homo_sapiens_tRNA-Gln-TTG-3-2
48	48	m5C	Homo_sapiens_tRNA-Gln-TTG-3-2
52	52	Y	Homo_sapiens_tRNA-Gln-TTG-3-2
53	53	Y	Homo_sapiens_tRNA-Gln-TTG-3-2
56	56	m1A	Homo_sapiens_tRNA-Gln-TTG-3-2
8	8	m1G	Homo_sapiens_tRNA-Gln-TTG-3-3
12	12	Y	Homo_sapiens_tRNA-Gln-TTG-3-3
16	16	Gm	Homo_sapiens_tRNA-Gln-TTG-3-3
18	18	D	Homo_sapiens_tRNA-Gln-TTG-3-3
19	19	D	Homo_sapiens_tRNA-Gln-TTG-3-3
27	27	Y	Homo_sapiens_tRNA-Gln-TTG-3-3
31	31	Cm	Homo_sapiens_tRNA-Gln-TTG-3-3
33	33	xU	Homo_sapiens_tRNA-Gln-TTG-3-3
38	38	Y	Homo_sapiens_tRNA-Gln-TTG-3-3
47	47	m5C	Homo_sapiens_tRNA-Gln-TTG-3-3
48	48	m5C	Homo_sapiens_tRNA-Gln-TTG-3-3
52	52	Y	Homo_sapiens_tRNA-Gln-TTG-3-3
53	53	Y	Homo_sapiens_tRNA-Gln-TTG-3-3
56	56	m1A	Homo_sapiens_tRNA-Gln-TTG-3-3
8	8	m1G	Homo_sapiens_tRNA-Gln-TTG-2-1
12	12	Y	Homo_sapiens_tRNA-Gln-TTG-2-1
16	16	Gm	Homo_sapiens_tRNA-Gln-TTG-2-1
18	18	D	Homo_sapiens_tRNA-Gln-TTG-2-1
19	19	D	Homo_sapiens_tRNA-Gln-TTG-2-1
27	27	Y	Homo_sapiens_tRNA-Gln-TTG-2-1
31	31	Cm	Homo_sapiens_tRNA-Gln-TTG-2-1
33	33	xU	Homo_sapiens_tRNA-Gln-TTG-2-1
38	38	Y	Homo_sapiens_tRNA-Gln-TTG-2-1
47	47	m5C	Homo_sapiens_tRNA-Gln-TTG-2-1
48	48	m5C	Homo_sapiens_tRNA-Gln-TTG-2-1
52	52	Y	Homo_sapiens_tRNA-Gln-TTG-2-1
53	53	Y	Homo_sapiens_tRNA-Gln-TTG-2-1
56	56	m1A	Homo_sapiens_tRNA-Gln-TTG-2-1
8	8	m1G	Homo_sapiens_tRNA-Gln-CTG-1-4
12	12	Y	Homo_sapiens_tRNA-Gln-CTG-1-4
16	16	Gm	Homo_sapiens_tRNA-Gln-CTG-1-4
18	18	D	Homo_sapiens_tRNA-Gln-CTG-1-4
19	19	D	Homo_sapiens_tRNA-Gln-CTG-1-4
27	27	Y	Homo_sapiens_tRNA-Gln-CTG-1-4
31	31	Cm	Homo_sapiens_tRNA-Gln-CTG-1-4
38	38	Y	Homo_sapiens_tRNA-Gln-CTG-1-4
47	47	m5C	Homo_sapiens_tRNA-Gln-CTG-1-4
48	48	m5C	Homo_sapiens_tRNA-Gln-CTG-1-4
52	52	Y	Homo_sapiens_tRNA-Gln-CTG-1-4
53	53	Y	Homo_sapiens_tRNA-Gln-CTG-1-4
56	56	m1A	Homo_sapiens_tRNA-Gln-CTG-1-4
8	8	m1G	Homo_sapiens_tRNA-Gln-CTG-1-5
12	12	Y	Homo_sapiens_tRNA-Gln-CTG-1-5
16	16	Gm	Homo_sapiens_tRNA-Gln-CTG-1-5
18	18	D	Homo_sapiens_tRNA-Gln-CTG-1-5
19	19	D	Homo_sapiens_tRNA-Gln-CTG-1-5
27	27	Y	Homo_sapiens_tRNA-Gln-CTG-1-5
31	31	Cm	Homo_sapiens_tRNA-Gln-CTG-1-5
38	38	Y	Homo_sapiens_tRNA-Gln-CTG-1-5
47	47	m5C	Homo_sapiens_tRNA-Gln-CTG-1-5
48	48	m5C	Homo_sapiens_tRNA-Gln-CTG-1-5
52	52	Y	Homo_sapiens_tRNA-Gln-CTG-1-5
53	53	Y	Homo_sapiens_tRNA-Gln-CTG-1-5
56	56	m1A	Homo_sapiens_tRNA-Gln-CTG-1-5
8	8	m1G	Homo_sapiens_tRNA-Gln-CTG-1-1
12	12	Y	Homo_sapiens_tRNA-Gln-CTG-1-1
16	16	Gm	Homo_sapiens_tRNA-Gln-CTG-1-1
18	18	D	Homo_sapiens_tRNA-Gln-CTG-1-1
19	19	D	Homo_sapiens_tRNA-Gln-CTG-1-1
27	27	Y	Homo_sapiens_tRNA-Gln-CTG-1-1
31	31	Cm	Homo_sapiens_tRNA-Gln-CTG-1-1
38	38	Y	Homo_sapiens_tRNA-Gln-CTG-1-1
47	47	m5C	Homo_sapiens_tRNA-Gln-CTG-1-1
48	48	m5C	Homo_sapiens_tRNA-Gln-CTG-1-1
52	52	Y	Homo_sapiens_tRNA-Gln-CTG-1-1
53	53	Y	Homo_sapiens_tRNA-Gln-CTG-1-1
56	56	m1A	Homo_sapiens_tRNA-Gln-CTG-1-1
8	8	m1G	Homo_sapiens_tRNA-Gln-CTG-1-2
12	12	Y	Homo_sapiens_tRNA-Gln-CTG-1-2
16	16	Gm	Homo_sapiens_tRNA-Gln-CTG-1-2
18	18	D	Homo_sapiens_tRNA-Gln-CTG-1-2
19	19	D	Homo_sapiens_tRNA-Gln-CTG-1-2
27	27	Y	Homo_sapiens_tRNA-Gln-CTG-1-2
31	31	Cm	Homo_sapiens_tRNA-Gln-CTG-1-2
38	38	Y	Homo_sapiens_tRNA-Gln-CTG-1-2
47	47	m5C	Homo_sapiens_tRNA-Gln-CTG-1-2
48	48	m5C	Homo_sapiens_tRNA-Gln-CTG-1-2
52	52	Y	Homo_sapiens_tRNA-Gln-CTG-1-2
53	53	Y	Homo_sapiens_tRNA-Gln-CTG-1-2
56	56	m1A	Homo_sapiens_tRNA-Gln-CTG-1-2
8	8	m1G	Homo_sapiens_tRNA-Gln-CTG-1-3
12	12	Y	Homo_sapiens_tRNA-Gln-CTG-1-3
16	16	Gm	Homo_sapiens_tRNA-Gln-CTG-1-3
18	18	D	Homo_sapiens_tRNA-Gln-CTG-1-3
19	19	D	Homo_sapiens_tRNA-Gln-CTG-1-3
27	27	Y	Homo_sapiens_tRNA-Gln-CTG-1-3
31	31	Cm	Homo_sapiens_tRNA-Gln-CTG-1-3
38	38	Y	Homo_sapiens_tRNA-Gln-CTG-1-3
47	47	m5C	Homo_sapiens_tRNA-Gln-CTG-1-3
48	48	m5C	Homo_sapiens_tRNA-Gln-CTG-1-3
52	52	Y	Homo_sapiens_tRNA-Gln-CTG-1-3
53	53	Y	Homo_sapiens_tRNA-Gln-CTG-1-3
56	56	m1A	Homo_sapiens_tRNA-Gln-CTG-1-3
8	8	m1G	Homo_sapiens_tRNA-Gln-TTG-1-1
12	12	Y	Homo_sapiens_tRNA-Gln-TTG-1-1
16	16	Gm	Homo_sapiens_tRNA-Gln-TTG-1-1
18	18	D	Homo_sapiens_tRNA-Gln-TTG-1-1
19	19	D	Homo_sapiens_tRNA-Gln-TTG-1-1
27	27	Y	Homo_sapiens_tRNA-Gln-TTG-1-1
31	31	Cm	Homo_sapiens_tRNA-Gln-TTG-1-1
33	33	xU	Homo_sapiens_tRNA-Gln-TTG-1-1
38	38	Y	Homo_sapiens_tRNA-Gln-TTG-1-1
47	47	m5C	Homo_sapiens_tRNA-Gln-TTG-1-1
48	48	m5C	Homo_sapiens_tRNA-Gln-TTG-1-1
52	52	Y	Homo_sapiens_tRNA-Gln-TTG-1-1
53	53	Y	Homo_sapiens_tRNA-Gln-TTG-1-1
56	56	m1A	Homo_sapiens_tRNA-Gln-TTG-1-1
8	8	m1G	Homo_sapiens_tRNA-Gln-TTG-3-1
12	12	Y	Homo_sapiens_tRNA-Gln-TTG-3-1
16	16	Gm	Homo_sapiens_tRNA-Gln-TTG-3-1
18	18	D	Homo_sapiens_tRNA-Gln-TTG-3-1
19	19	D	Homo_sapiens_tRNA-Gln-TTG-3-1
27	27	Y	Homo_sapiens_tRNA-Gln-TTG-3-1
31	31	Cm	Homo_sapiens_tRNA-Gln-TTG-3-1
33	33	xU	Homo_sapiens_tRNA-Gln-TTG-3-1
38	38	Y	Homo_sapiens_tRNA-Gln-TTG-3-1
47	47	m5C	Homo_sapiens_tRNA-Gln-TTG-3-1
48	48	m5C	Homo_sapiens_tRNA-Gln-TTG-3-1
52	52	Y	Homo_sapiens_tRNA-Gln-TTG-3-1
53	53	Y	Homo_sapiens_tRNA-Gln-TTG-3-1
56	56	m1A	Homo_sapiens_tRNA-Gln-TTG-3-1
8	8	m1G	Homo_sapiens_tRNA-Gln-TTG-3-2
12	12	Y	Homo_sapiens_tRNA-Gln-TTG-3-2
16	16	Gm	Homo_sapiens_tRNA-Gln-TTG-3-2
18	18	D	Homo_sapiens_tRNA-Gln-TTG-3-2
19	19	D	Homo_sapiens_tRNA-Gln-TTG-3-2
27	27	Y	Homo_sapiens_tRNA-Gln-TTG-3-2
31	31	Cm	Homo_sapiens_tRNA-Gln-TTG-3-2
33	33	xU	Homo_sapiens_tRNA-Gln-TTG-3-2
38	38	Y	Homo_sapiens_tRNA-Gln-TTG-3-2
47	47	m5C	Homo_sapiens_tRNA-Gln-TTG-3-2
48	48	m5C	Homo_sapiens_tRNA-Gln-TTG-3-2
52	52	Y	Homo_sapiens_tRNA-Gln-TTG-3-2
53	53	Y	Homo_sapiens_tRNA-Gln-TTG-3-2
56	56	m1A	Homo_sapiens_tRNA-Gln-TTG-3-2
8	8	m1G	Homo_sapiens_tRNA-Gln-TTG-3-3
12	12	Y	Homo_sapiens_tRNA-Gln-TTG-3-3
16	16	Gm	Homo_sapiens_tRNA-Gln-TTG-3-3
18	18	D	Homo_sapiens_tRNA-Gln-TTG-3-3
19	19	D	Homo_sapiens_tRNA-Gln-TTG-3-3
27	27	Y	Homo_sapiens_tRNA-Gln-TTG-3-3
31	31	Cm	Homo_sapiens_tRNA-Gln-TTG-3-3
33	33	xU	Homo_sapiens_tRNA-Gln-TTG-3-3
38	38	Y	Homo_sapiens_tRNA-Gln-TTG-3-3
47	47	m5C	Homo_sapiens_tRNA-Gln-TTG-3-3
48	48	m5C	Homo_sapiens_tRNA-Gln-TTG-3-3
52	52	Y	Homo_sapiens_tRNA-Gln-TTG-3-3
53	53	Y	Homo_sapiens_tRNA-Gln-TTG-3-3
56	56	m1A	Homo_sapiens_tRNA-Gln-TTG-3-3
8	8	m1G	Homo_sapiens_tRNA-Gln-TTG-2-1
12	12	Y	Homo_sapiens_tRNA-Gln-TTG-2-1
16	16	Gm	Homo_sapiens_tRNA-Gln-TTG-2-1
18	18	D	Homo_sapiens_tRNA-Gln-TTG-2-1
19	19	D	Homo_sapiens_tRNA-Gln-TTG-2-1
27	27	Y	Homo_sapiens_tRNA-Gln-TTG-2-1
31	31	Cm	Homo_sapiens_tRNA-Gln-TTG-2-1
33	33	xU	Homo_sapiens_tRNA-Gln-TTG-2-1
38	38	Y	Homo_sapiens_tRNA-Gln-TTG-2-1
47	47	m5C	Homo_sapiens_tRNA-Gln-TTG-2-1
48	48	m5C	Homo_sapiens_tRNA-Gln-TTG-2-1
52	52	Y	Homo_sapiens_tRNA-Gln-TTG-2-1
53	53	Y	Homo_sapiens_tRNA-Gln-TTG-2-1
56	56	m1A	Homo_sapiens_tRNA-Gln-TTG-2-1
11	11	ac4C	Homo_sapiens_tRNA-Ser-TGA-1-1
15	15	D	Homo_sapiens_tRNA-Ser-TGA-1-1
16	16	Gm	Homo_sapiens_tRNA-Ser-TGA-1-1
18	18	D	Homo_sapiens_tRNA-Ser-TGA-1-1
19	19	D	Homo_sapiens_tRNA-Ser-TGA-1-1
27	27	Y	Homo_sapiens_tRNA-Ser-TGA-1-1
38	38	Y	Homo_sapiens_tRNA-Ser-TGA-1-1
43	43	Um	Homo_sapiens_tRNA-Ser-TGA-1-1
49	49	m3C	Homo_sapiens_tRNA-Ser-TGA-1-1
56	56	m5C	Homo_sapiens_tRNA-Ser-TGA-1-1
62	62	m5U	Homo_sapiens_tRNA-Ser-TGA-1-1
63	63	Y	Homo_sapiens_tRNA-Ser-TGA-1-1
66	66	m1A	Homo_sapiens_tRNA-Ser-TGA-1-1
11	11	ac4C	Homo_sapiens_tRNA-Ser-TGA-3-1
15	15	D	Homo_sapiens_tRNA-Ser-TGA-3-1
16	16	Gm	Homo_sapiens_tRNA-Ser-TGA-3-1
18	18	D	Homo_sapiens_tRNA-Ser-TGA-3-1
19	19	D	Homo_sapiens_tRNA-Ser-TGA-3-1
27	27	Y	Homo_sapiens_tRNA-Ser-TGA-3-1
38	38	Y	Homo_sapiens_tRNA-Ser-TGA-3-1
43	43	Um	Homo_sapiens_tRNA-Ser-TGA-3-1
49	49	m3C	Homo_sapiens_tRNA-Ser-TGA-3-1
56	56	m5C	Homo_sapiens_tRNA-Ser-TGA-3-1
62	62	m5U	Homo_sapiens_tRNA-Ser-TGA-3-1
63	63	Y	Homo_sapiens_tRNA-Ser-TGA-3-1
66	66	m1A	Homo_sapiens_tRNA-Ser-TGA-3-1
11	11	ac4C	Homo_sapiens_tRNA-Ser-TGA-4-1
15	15	D	Homo_sapiens_tRNA-Ser-TGA-4-1
16	16	Gm	Homo_sapiens_tRNA-Ser-TGA-4-1
18	18	D	Homo_sapiens_tRNA-Ser-TGA-4-1
19	19	D	Homo_sapiens_tRNA-Ser-TGA-4-1
27	27	Y	Homo_sapiens_tRNA-Ser-TGA-4-1
38	38	Y	Homo_sapiens_tRNA-Ser-TGA-4-1
43	43	Um	Homo_sapiens_tRNA-Ser-TGA-4-1
56	56	m5C	Homo_sapiens_tRNA-Ser-TGA-4-1
62	62	m5U	Homo_sapiens_tRNA-Ser-TGA-4-1
63	63	Y	Homo_sapiens_tRNA-Ser-TGA-4-1
66	66	m1A	Homo_sapiens_tRNA-Ser-TGA-4-1
11	11	ac4C	Homo_sapiens_tRNA-Ser-TGA-2-1
15	15	D	Homo_sapiens_tRNA-Ser-TGA-2-1
16	16	Gm	Homo_sapiens_tRNA-Ser-TGA-2-1
18	18	D	Homo_sapiens_tRNA-Ser-TGA-2-1
19	19	D	Homo_sapiens_tRNA-Ser-TGA-2-1
27	27	Y	Homo_sapiens_tRNA-Ser-TGA-2-1
38	38	Y	Homo_sapiens_tRNA-Ser-TGA-2-1
43	43	Um	Homo_sapiens_tRNA-Ser-TGA-2-1
56	56	m5C	Homo_sapiens_tRNA-Ser-TGA-2-1
62	62	m5U	Homo_sapiens_tRNA-Ser-TGA-2-1
63	63	Y	Homo_sapiens_tRNA-Ser-TGA-2-1
66	66	m1A	Homo_sapiens_tRNA-Ser-TGA-2-1
11	11	ac4C	Homo_sapiens_tRNA-Ser-AGA-2-6
15	15	D	Homo_sapiens_tRNA-Ser-AGA-2-6
16	16	Gm	Homo_sapiens_tRNA-Ser-AGA-2-6
18	18	D	Homo_sapiens_tRNA-Ser-AGA-2-6
19	19	D	Homo_sapiens_tRNA-Ser-AGA-2-6
27	27	Y	Homo_sapiens_tRNA-Ser-AGA-2-6
38	38	Y	Homo_sapiens_tRNA-Ser-AGA-2-6
43	43	Um	Homo_sapiens_tRNA-Ser-AGA-2-6
49	49	m3C	Homo_sapiens_tRNA-Ser-AGA-2-6
56	56	m5C	Homo_sapiens_tRNA-Ser-AGA-2-6
62	62	m5U	Homo_sapiens_tRNA-Ser-AGA-2-6
63	63	Y	Homo_sapiens_tRNA-Ser-AGA-2-6
66	66	m1A	Homo_sapiens_tRNA-Ser-AGA-2-6
11	11	ac4C	Homo_sapiens_tRNA-Ser-AGA-2-1
15	15	D	Homo_sapiens_tRNA-Ser-AGA-2-1
16	16	Gm	Homo_sapiens_tRNA-Ser-AGA-2-1
18	18	D	Homo_sapiens_tRNA-Ser-AGA-2-1
19	19	D	Homo_sapiens_tRNA-Ser-AGA-2-1
27	27	Y	Homo_sapiens_tRNA-Ser-AGA-2-1
38	38	Y	Homo_sapiens_tRNA-Ser-AGA-2-1
43	43	Um	Homo_sapiens_tRNA-Ser-AGA-2-1
49	49	m3C	Homo_sapiens_tRNA-Ser-AGA-2-1
56	56	m5C	Homo_sapiens_tRNA-Ser-AGA-2-1
62	62	m5U	Homo_sapiens_tRNA-Ser-AGA-2-1
63	63	Y	Homo_sapiens_tRNA-Ser-AGA-2-1
66	66	m1A	Homo_sapiens_tRNA-Ser-AGA-2-1
11	11	ac4C	Homo_sapiens_tRNA-Ser-AGA-2-2
15	15	D	Homo_sapiens_tRNA-Ser-AGA-2-2
16	16	Gm	Homo_sapiens_tRNA-Ser-AGA-2-2
18	18	D	Homo_sapiens_tRNA-Ser-AGA-2-2
19	19	D	Homo_sapiens_tRNA-Ser-AGA-2-2
27	27	Y	Homo_sapiens_tRNA-Ser-AGA-2-2
38	38	Y	Homo_sapiens_tRNA-Ser-AGA-2-2
43	43	Um	Homo_sapiens_tRNA-Ser-AGA-2-2
49	49	m3C	Homo_sapiens_tRNA-Ser-AGA-2-2
56	56	m5C	Homo_sapiens_tRNA-Ser-AGA-2-2
62	62	m5U	Homo_sapiens_tRNA-Ser-AGA-2-2
63	63	Y	Homo_sapiens_tRNA-Ser-AGA-2-2
66	66	m1A	Homo_sapiens_tRNA-Ser-AGA-2-2
11	11	ac4C	Homo_sapiens_tRNA-Ser-AGA-2-3
15	15	D	Homo_sapiens_tRNA-Ser-AGA-2-3
16	16	Gm	Homo_sapiens_tRNA-Ser-AGA-2-3
18	18	D	Homo_sapiens_tRNA-Ser-AGA-2-3
19	19	D	Homo_sapiens_tRNA-Ser-AGA-2-3
27	27	Y	Homo_sapiens_tRNA-Ser-AGA-2-3
38	38	Y	Homo_sapiens_tRNA-Ser-AGA-2-3
43	43	Um	Homo_sapiens_tRNA-Ser-AGA-2-3
49	49	m3C	Homo_sapiens_tRNA-Ser-AGA-2-3
56	56	m5C	Homo_sapiens_tRNA-Ser-AGA-2-3
62	62	m5U	Homo_sapiens_tRNA-Ser-AGA-2-3
63	63	Y	Homo_sapiens_tRNA-Ser-AGA-2-3
66	66	m1A	Homo_sapiens_tRNA-Ser-AGA-2-3
11	11	ac4C	Homo_sapiens_tRNA-Ser-AGA-2-4
15	15	D	Homo_sapiens_tRNA-Ser-AGA-2-4
16	16	Gm	Homo_sapiens_tRNA-Ser-AGA-2-4
18	18	D	Homo_sapiens_tRNA-Ser-AGA-2-4
19	19	D	Homo_sapiens_tRNA-Ser-AGA-2-4
27	27	Y	Homo_sapiens_tRNA-Ser-AGA-2-4
38	38	Y	Homo_sapiens_tRNA-Ser-AGA-2-4
43	43	Um	Homo_sapiens_tRNA-Ser-AGA-2-4
49	49	m3C	Homo_sapiens_tRNA-Ser-AGA-2-4
56	56	m5C	Homo_sapiens_tRNA-Ser-AGA-2-4
62	62	m5U	Homo_sapiens_tRNA-Ser-AGA-2-4
63	63	Y	Homo_sapiens_tRNA-Ser-AGA-2-4
66	66	m1A	Homo_sapiens_tRNA-Ser-AGA-2-4
11	11	ac4C	Homo_sapiens_tRNA-Ser-AGA-3-1
15	15	D	Homo_sapiens_tRNA-Ser-AGA-3-1
16	16	Gm	Homo_sapiens_tRNA-Ser-AGA-3-1
18	18	D	Homo_sapiens_tRNA-Ser-AGA-3-1
19	19	D	Homo_sapiens_tRNA-Ser-AGA-3-1
27	27	Y	Homo_sapiens_tRNA-Ser-AGA-3-1
38	38	Y	Homo_sapiens_tRNA-Ser-AGA-3-1
43	43	Um	Homo_sapiens_tRNA-Ser-AGA-3-1
56	56	m5C	Homo_sapiens_tRNA-Ser-AGA-3-1
62	62	m5U	Homo_sapiens_tRNA-Ser-AGA-3-1
63	63	Y	Homo_sapiens_tRNA-Ser-AGA-3-1
66	66	m1A	Homo_sapiens_tRNA-Ser-AGA-3-1
11	11	ac4C	Homo_sapiens_tRNA-Ser-AGA-1-1
15	15	D	Homo_sapiens_tRNA-Ser-AGA-1-1
16	16	Gm	Homo_sapiens_tRNA-Ser-AGA-1-1
18	18	D	Homo_sapiens_tRNA-Ser-AGA-1-1
19	19	D	Homo_sapiens_tRNA-Ser-AGA-1-1
27	27	Y	Homo_sapiens_tRNA-Ser-AGA-1-1
38	38	Y	Homo_sapiens_tRNA-Ser-AGA-1-1
43	43	Um	Homo_sapiens_tRNA-Ser-AGA-1-1
56	56	m5C	Homo_sapiens_tRNA-Ser-AGA-1-1
62	62	m5U	Homo_sapiens_tRNA-Ser-AGA-1-1
63	63	Y	Homo_sapiens_tRNA-Ser-AGA-1-1
66	66	m1A	Homo_sapiens_tRNA-Ser-AGA-1-1
11	11	ac4C	Homo_sapiens_tRNA-Ser-AGA-4-1
15	15	D	Homo_sapiens_tRNA-Ser-AGA-4-1
16	16	Gm	Homo_sapiens_tRNA-Ser-AGA-4-1
18	18	D	Homo_sapiens_tRNA-Ser-AGA-4-1
19	19	D	Homo_sapiens_tRNA-Ser-AGA-4-1
27	27	Y	Homo_sapiens_tRNA-Ser-AGA-4-1
43	43	Um	Homo_sapiens_tRNA-Ser-AGA-4-1
49	49	m3C	Homo_sapiens_tRNA-Ser-AGA-4-1
56	56	m5C	Homo_sapiens_tRNA-Ser-AGA-4-1
62	62	m5U	Homo_sapiens_tRNA-Ser-AGA-4-1
63	63	Y	Homo_sapiens_tRNA-Ser-AGA-4-1
66	66	m1A	Homo_sapiens_tRNA-Ser-AGA-4-1
11	11	ac4C	Homo_sapiens_tRNA-Ser-AGA-2-5
15	15	D	Homo_sapiens_tRNA-Ser-AGA-2-5
16	16	Gm	Homo_sapiens_tRNA-Ser-AGA-2-5
18	18	D	Homo_sapiens_tRNA-Ser-AGA-2-5
19	19	D	Homo_sapiens_tRNA-Ser-AGA-2-5
27	27	Y	Homo_sapiens_tRNA-Ser-AGA-2-5
38	38	Y	Homo_sapiens_tRNA-Ser-AGA-2-5
43	43	Um	Homo_sapiens_tRNA-Ser-AGA-2-5
49	49	m3C	Homo_sapiens_tRNA-Ser-AGA-2-5
56	56	m5C	Homo_sapiens_tRNA-Ser-AGA-2-5
62	62	m5U	Homo_sapiens_tRNA-Ser-AGA-2-5
63	63	Y	Homo_sapiens_tRNA-Ser-AGA-2-5
66	66	m1A	Homo_sapiens_tRNA-Ser-AGA-2-5
12	12	Y	Homo_sapiens_tRNA-Val-CAC-1-8
15	15	D	Homo_sapiens_tRNA-Val-CAC-1-8
18	18	D	Homo_sapiens_tRNA-Val-CAC-1-8
19	19	D	Homo_sapiens_tRNA-Val-CAC-1-8
25	25	m2G	Homo_sapiens_tRNA-Val-CAC-1-8
26	26	Y	Homo_sapiens_tRNA-Val-CAC-1-8
45	45	m7G	Homo_sapiens_tRNA-Val-CAC-1-8
46	46	D	Homo_sapiens_tRNA-Val-CAC-1-8
47	47	m5C	Homo_sapiens_tRNA-Val-CAC-1-8
48	48	m5C	Homo_sapiens_tRNA-Val-CAC-1-8
54	54	Y	Homo_sapiens_tRNA-Val-CAC-1-8
57	57	m1A	Homo_sapiens_tRNA-Val-CAC-1-8
12	12	Y	Homo_sapiens_tRNA-Val-CAC-4-1
